COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA,CODPAISMATRIZ,DESC_VARIACION,SALVAGUARDA,EXCLUSIVIDAD,CORTE_REGISTRAL,CODIGO_LEI,COD_BE_PREVIO,AGRUPACIONGEO,BIC
BP,2103,20000,"UNICAJA BANCO, S.A.","UNICAJA BANCO, S.A.",,A93139053,AV,ANDALUCIA,10-12,,29007,MALAGA,,ES,,0952138000,,0952287698,WWW.UNICAJA.ES,,,0000,24/10/2018,05/12/2011,,29,,N,,,,,,,,01,,"UNICAJA BANCO, S.A.",UNICAJA BANCO,ES,,,,,5493007SJLLCTM6J6M37,0000,,UCJAES2MXXX
SECC,0108,140000,"SOCIETE GENERALE, S.E.","SOCIETE GENERALE, SUCURSAL EN ESPAÑA",,W0011682B,PZ,PABLO RUIZ PICASSO,1,TORRE PICASSO,28020,MADRID,,ES,,0915898060,,0915893805,,,,0000,01/01/2009,10/06/1948,,28,,N,SOCIETE GENERALE,"29, BOULEVARD HAUSSMANN",75009 PARIS,,,,,12,,"SOCIETE GENERALE, S.E.",SOCIETE GENERAL,FR,,,,W,,0000,,SOGEESMMXXX
SECC,0131,140000,"NOVO BANCO, S.A., SUCURSAL EN ESPAÑA","NOVO BANCO, S.A., SUCURSAL EN ESPAÑA",,W0102800J,CL,SERRANO,88,,28006,MADRID,,ES,,0914005000,,0914005053,WWW.NOVOBANCO.ES,,,0000,27/02/2015,26/04/2007,,28,,N,"NOVO BANCO, S.A.","AVENIDA DA LIBERDADE, 195",1250-142 LISBOA,,,,,12,,"NOVO BANCO, S.A., S.E.","NOVO BANCO, S.A",PT,,,,,,0000,,BESMESMMXXX
SECC,0144,140000,"BNP PARIBAS SECURITIES SERVICES, S.E.","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA",,W0012958E,CL,EMILIO VARGAS,4,,28043,MADRID,,ES,,0917625090,,0917624849,,,,0000,06/04/2017,29/12/2000,,28,,N,BNP PARIBAS SECURITIES SERVICES,3 RUE D'ANTIN,75002 PARIS,,,,,12,,"BNP PARIBAS SECURITIES SERVICES, SE",BNP PARIB.SEC,FR,CAMBIO DE DOMICILIO,,,D,,0000,,PARBESMXXXX
SECC,0145,140000,"DEUTSCHE BANK A.G., S.E.","DEUTSCHE BANK, A.G., SUCURSAL EN ESPAÑA",,W0041027D,PS,DE LA CASTELLANA,18,,28046,MADRID,,ES,,0915773577,,0915753921,,,,0000,25/03/2009,03/04/1979,,28,,N,"DEUTSCHE BANK, AKTIENGESELLSCHAFT",,60325 FRANKFURT AM MAIN,,,,,12,,"DEUTSCHE BANK A.G., S.E.","DB-A.G., S.E.",DE,CAMBIO DE DOMICILIO,,,D,,0000,,DEUTESM1XXX
SECC,0149,140000,"BNP PARIBAS S.A., S.E.","BNP PARIBAS S.A., SUCURSAL EN ESPAÑA",,W0011117I,CL,EMILIO VARGAS,4,,28043,MADRID,,ES,,0917623500,,0913888092,WWW.BNPPARIBAS.ES,,,0000,24/01/2017,30/03/1979,,28,,N,BNP PARIBAS,"BOULEVARD DES ITALIENS, 16",75009 PARIS,,,,,12,,"BNP PARIBAS S.A., S.E.",BNP PARIBAS S.A,FR,CAMBIO DE DOMICILIO,,,D,,0000,,BNPAESMSXXX
SECC,0152,140000,"BARCLAYS BANK PLC, S.E.","BARCLAYS BANK PLC, SUCURSAL EN ESPAÑA",,W0061418J,CL,DE JOSE ABASCAL,51,,28003,MADRID,,ES,,0913361221,,,,,,0000,26/04/2018,03/07/1979,,28,,N,BARCLAYS BANK PLC,1 CHURCHILL PLACE,LONDON E14 5HP,,00442076995000,,,12,,"BARCLAYS BANK PLC, S.E.","BARCLAYS, S.E.",GB,,,,,,0000,,BPLCESMMXXX
SECC,0154,140000,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,S.E.","CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK, SUCURSAL EN ESPAÑA",,W0011043G,PS,DE LA CASTELLANA,1,,28046,MADRID,,ES,,0914327200,,0914327500,,,,0000,10/01/2018,16/10/1979,,28,,N,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,"12, PLACE DES ETATS-UNIS CS 70052",92120 MONTROUGE CEDEX,,,,,12,,"CREDIT AGRIC.CORP.INVEST. BANK, S.E",CREDIT AGRICOLE,FR,,,,W,,0000,,BSUIESMMXXX
SECC,0155,140000,"BANCO DO BRASIL AG, SUCURSAL EN ESPAÑA","BANCO DO BRASIL AG, SUCURSAL EN ESPAÑA",,W5081236A,PS,DE LA CASTELLANA,259-C,PL. 22,28046,MADRID,,ES,,0914232500,,0914232520,madri@bb.com.br,,,0000,29/01/2014,29/01/2014,,28,,N,BANCO DO BRASIL AKTIENGESELLSCHAFT,"GALAXY TOWER, PRATERSTRASSE 31/4 OG",1020-VIENA (AUSTRIA),,,,,12,,"BANCO DO BRASIL AG, S.E.",BANCO DO BRASIL,AT,ALTA,,,A,,0155,,BRASESMMXXX
SECC,0159,140000,"COMMERZBANK AKTIENGESELLSCHAFT, S.E.","COMMERZBANK AKTIENGESELLSCHAFT, SUCURSAL EN ESPAÑA",,W0041282E,PS,DE LA CASTELLANA,259-C,"TORRE DE CRISTAL, PLANTA 32",28046,MADRID,,ES,,0915724700,,0915724821,,,,0000,09/01/2017,12/03/1980,,28,,N,COMMERZBANK AKTIENGESELLSCHAFT,KAISERPLATZ,D-60261 FRANKFURT AM MAIN,,,,,12,,"COMMERZBANK A.G., S.E.",COMMERZBANK,DE,CAMBIO DE DOMICILIO,,,D,,0000,,COBAESMXTMA
SECC,0160,140000,"MUFG BANK (EUROPE) N.V., SUCURSAL EN ESPAÑA","MUFG BANK (EUROPE) N.V., SUCURSAL EN ESPAÑA",,W0030474A,CL,JOSE ORTEGA Y GASSET,29,,28006,MADRID,,ES,,0914328500,,0914328597,,,,0000,02/04/2018,01/04/2018,,28,,N,MUFG BANK (EUROPE) N.V.,"WORLD TRADE CENTER. TOWER I, LEVEL 5. STRAWINSKYLAAN 1887.",AMSTERDAM,1077 XX,,,,12,,"MUFG BANK (EUROPE) N.V., S.E.",MUFG BANK (EURO,NL,ALTA,,,A,,0000,,BOTKESMXXXX
SECC,0162,140000,"HSBC BANK PLC, S.E.","HSBC BANK PLC, SUCURSAL EN ESPAÑA",,W0061401F,PZ,PABLO RUIZ PICASSO,1,"PL.33, TORRE PICASSO",28020,MADRID,,ES,,0914566100,,0914566200,,,,0000,11/01/2013,07/04/1981,,28,,N,HSBC BANK PLC,8 CANADA SQUARE,LONDON E14 5HQ,,,,,12,,"HSBC BANK PLC, S.E.",HSBC BANK,GB,,,,,,0000,,MIDLESMMXXX
SECC,0167,140000,"BNP PARIBAS FORTIS, S.A., N.V., S.E.","BNP PARIBAS FORTIS, S.A., N.V., SUCURSAL EN ESPAÑA",,W0021127F,CL,EMILIO VARGAS,4,,28043,MADRID,,ES,,0917623500,,0913888092,WWW.FORTISBANK.COM,,,0000,08/05/2017,25/08/1982,,28,,N,"FORTIS BANK, S.A.-N.V.","MONTAGNE DU PARC, 3",B-1000 BRUSSELS,,,,,12,,"BNP PARIBAS FORTIS, S.A., N.V., S.E",BNP PARIBAS F.,BE,CAMBIO DE DOMICILIO,,,D,,0000,,GEBAESMMXXX
SECC,0190,140000,"BANCO BPI, S.A., S.E.","BANCO BPI, S.A., SUCURSAL EN ESPAÑA",,W0401036I,PS,DE LA CASTELLANA,40,BIS,28046,MADRID,,ES,,0913289800,,0915766387,,,,0000,01/01/2009,12/09/1989,,28,,N,"BANCO BPI, S.A.","RUA TENENTE VALADIM, 284",4100-476 PORTO,,,,,12,,"BANCO BPI, S.A., S.E.","BANCO BPI, S.E.",PT,,,,W,,0000,,BBPIESMMXXX
SECC,0218,140000,FCE BANK PLC S.E.,FCE BANK PLC SUCURSAL EN ESPAÑA,,W0063712D,CL,CALENDULA,13,,28109,ALCOBENDAS,MADRID,ES,,0917145317,,0917145372,,,,0000,01/01/2009,13/10/1993,,28,,N,FCE BANK PLC,"JUBILEE HOUSE, THE DRIVE, BRENTWOOD",ESSEX CM13 3AR,,,,,12,,FCE BANK PLC S.E.,FCE BANK,GB,,,,W,,0000,,FCEFESM1XXX
SECC,0226,140000,"UBS EUROPE SE, SUCURSAL EN ESPAÑA","UBS EUROPE SE, SUCURSAL EN ESPAÑA",,W2760881I,CL,MARIA DE MOLINA,4,,28006,MADRID,,ES,,0917457000,,0915633666,,,,0000,29/12/2016,01/12/2016,,28,,N,UBS EUROPE SE,"OPERNTURM. BOCKENHEIMER LANDSTRASSE, 2-4",FRANKFURT AM MAIN,60306,,,,12,,"UBS EUROPE SE, S.E.","UBS EUROPE SE,",DE,CAMBIO DE DENOMINACION,,,N,,0000,,UBSWESMMXXX
SECC,0231,140000,"DEXIA CREDIT LOCAL, SUCURSAL EN ESPAÑA","DEXIA CREDIT LOCAL, SUCURSAL EN ESPAÑA",,W2500594C,CL,MAHONIA,2,4ª PLANTA,28043,MADRID,,ES,N,0917213327,,,,,,0000,02/11/2016,01/11/2016,,28,,N,DEXIA CREDIT LOCAL,"1, PASSERELLE DES REFLETS. TOUR DEXIA LA DEFENSE 2. TSA 92202",LA DEFENSE CEDEX,92919,33158587777,33158587000,WWW.DEXIA-CREDITLOCAL.FR,12,,"DEXIA CREDIT LOCAL, S.E.",DEXIA CREDIT LO,FR,ALTA,,,A,,0000,,DSBLESMMXXX
SECC,1451,140000,"CAISSE REGIONALE CREDIT AGRICOLE MUTUEL SUD MED,SE","CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD MEDITERRANEE (ARIEGE ET  PYRENEES ORIENTALES), S.E.",,W0011887G,CL,CORCEGA,301,,8008,BARCELONA,,ES,,0932179900,,0932375309,,,,0000,14/10/2009,30/12/1993,,08,,N,CAISSE REGIONALE DE CREDIT AGRICOLEMUTUEL SUD MEDITERRANEE (ARIEGE ET PYRENEES ORIENTALES),30 RUE BRETONNEAU,66000 PERPIGNAN,,,,,09,,CAISSE REG.CREDIT AGRICOLE MUTUEL,CREDIT SUDMED,FR,,,,W,,0000,,
SECC,1457,140000,"DE LAGE LANDEN INTERNATIONAL B.V., S.E.","DE LAGE LANDEN INTERNATIONAL B.V.,  SUCURSAL EN ESPAÑA",,W0031602F,CL,JOSE BARDASANO BAOS,9,"PL. 5, EDIF.GORBEA 3",28016,MADRID,,ES,,0913846600,,0913848169,,,,0000,28/10/2011,08/05/1996,,28,,N,DE LAGE LANDEN INTERNATIONAL B.V.,"VESTDIJK 51,",5611 CA EINDHOVEN,,,,,12,,"DE LAGE LANDEN INTERNATIONAL BV,SE",LAGE LANDEN INT,NL,,,,,,0000,,LLISESM1XXX
SECC,1459,140000,COOPERATIEVE RABOBANK U.A. SUCURSAL EN ESPAÑA,COOPERATIEVE RABOBANK U.A. SUCURSAL EN ESPAÑA,,W0031750C,CL,RAFAEL CALVO,39,PL. 1,28010,MADRID,,ES,,0914364010,,0914364020,,,,0000,05/04/2016,14/01/1998,,28,,N,COOPERATIEVE RABOBANK U.A.,CROESELAAN 18,3521 CB UTRECHT,,31302162758,31302161916,,12,,COOPERATIEVE RABOBANK U.A. S.E.,COOP. RABOBANK,NL,CAMBIO DE DENOMINACION,,,N,,0000,,PRABESMMXXX
SECC,1465,140000,ING BANK N.V. SUCURSAL EN ESPAÑA,"ING BANK, N.V. SUCURSAL EN ESPAÑA",,W0037986G,CL,"SEVERO OCHOA, 2",,,28232,LAS ROZAS,MADRID,ES,,0916349200,,0916349231,,,,0000,01/04/2014,01/04/2014,,28,,N,ING BANK N.V.,BIJLMERPLEIN 888,1102MG AMSTERDAM,,310205761797,310205760950,,12,,"ING BANK, N.V. S.E.",ING BANK,NL,ALTA,,,A,,0000,,INGDESMMXXX
SECC,1470,140000,"BANCO PORTUGUES DE INVESTIMENTO, S.A. S.E.","BANCO PORTUGUES DE INVESTIMENTO, S.A. SUCURSAL EN ESPAÑA",,W0101346E,PS,DE LA CASTELLANA,40,BIS - PL. 3,28046,MADRID,,ES,,0917814603,,0917814607,,,,0000,01/01/2009,12/01/2000,,28,BPI,S,"BANCO PORTUGUES DE INVESTIMENTO,   S.A.","RUA TENENTE VALADIM, 284",4100-000 PORTO,,,,,12,,"BANCO PORTUGUES INVESTIMENTO,S.A.SE",BPI,PT,,,,W,,0000,,BPIPESM1XXX
SECC,1472,140000,"CREDIT AGRICOLE LEASING & FACTORING, S.E.","CREDIT AGRICOLE LEASING & FACTORING, SUCURSAL EN ESPAÑA",,W0012760E,PS,DE LA CASTELLANA,1,BAJO,28046,MADRID,,ES,,0917820210,,0917820211,,,,0000,05/07/2010,03/02/2000,,28,CA-LEASING,S,CREDIT AGRICOLE LEASING & FACTORING,1-3 RUE DU PASSEUR DE BOULOGNE,92861 ISSY LES MOULINEAUX CEDEX 9,,,,,12,,CREDIT AGRICOLE LEASING & FACTORING,CA-LEASING,FR,CAMBIO DE DENOMINACION,,,N,,0000,,UCSSESM1XXX
SECC,1473,140000,"EDMOND DE ROTHSCHILD (EUROPE), S.E","EDMOND DE ROTHSCHILD (EUROPE), SUCURSAL EN ESPAÑA",,W1081034I,PS,DE LA CASTELLANA,55,,28046,MADRID,,ES,,0913646600,,0913646663,,,,0000,25/07/2014,02/10/2000,,28,,N,BANQUE PRIVEE EDMOND DE ROTHSCHILD LUXEMBOURG,"20, BOULEVARD EMMANUEL SERVAIS",L-2535 LUXEMBOURG,,,,,12,,"EDMOND DE ROTHSCHILD (EUROPE), S.E.",EDMOND ROTHSCHI,LU,CAMBIO DE DENOMINACION,,,N,,0000,,PRIBESMXXXX
SECC,1474,140000,CITIBANK EUROPE PLC SUCURSAL EN ESPAÑA,"CITIBANK EUROPE PLC, SUCURSAL EN ESPAÑA",,W0073078H,CL,JOSE ORTEGA Y GASSET,29,EDIFICIO BEATRIZ,28006,MADRID,,ES,N,0915384100,,0915784412,,,,0000,04/01/2016,04/01/2016,,28,,N,CITIBANK EUROPE PLC,1 NORTH WALL QUAY,DUBLIN 1,,,,,12,,"CITIBANK EUROPE PLC, S.E.",CITIBANK EUROPE,IE,ALTA,,,A,,0000,,CITIESMXSEC
SECC,1479,140000,"NATIXIS, S.A., S.E.","NATIXIS, S.A., SUCURSAL EN ESPAÑA",,W0013055I,CL,SERRANO,90,,28006,MADRID,MADRID,ES,N,0911117700,,0915774562,,,,0000,28/06/2018,10/07/2001,,28,,N,"NATIXIS, S.A.","30, AVENUE PIERRE MENDÈS-FRANCE",75013 PARIS,,,,,12,,"NATIXIS, S.A., S.E.",NATIXIS,FR,,,,,,0000,,NATXESMMXXX
SECC,1480,140000,"VOLKSWAGEN BANK GMBH, S.E.","VOLKSWAGEN BANK GMBH, SUCURSAL EN ESPAÑA",,W0042741I,AV,DE BRUSELAS,34,,28108,ALCOBENDAS,MADRID,ES,,0914535100,,0914535273,WWW.VWBSTOCK.COM,,,0000,06/05/2015,03/12/2001,,28,,N,VOLKSWAGEN BANK GMBH,"GIFHORNER STRASSE, 57",D-38112 BRAUNSCHWEIG,,,,,12,,"VOLKSWAGEN BANK GMBH, S.E.",VOLKSWAGEN BANK,DE,,,,,,0000,,VOWAES21XXX
SECC,1482,140000,"JOHN DEERE BANK, S.A., S.E.","JOHN DEERE BANK, S.A., SUCURSAL EN  ESPAÑA",,N1181021E,,BULEVAR JOHN DEERE,2,,28984,PARLA,MADRID,ES,,0916009558,,0916009516,,,,0000,22/02/2010,07/06/2002,,28,,N,"JOHN DEERE BANK, S.A.",43 AVENUE JOHN F. KENNEDY                                        BP 1685,L-1016 LUXEMBOURG,,,,,12,,"JOHN DEERE BANK, S.A., S.E.",JOHN DEERE,LU,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1485,140000,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LTD SE,"BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED, SUCURSAL EN ESPAÑA",,W8265556D,CL,MARQUES DE VILLAMAGNA,3,"TORRE SERRANO, PLANTA 8",28001,MADRID,,ES,,0915143000,,0915143001,EMEA_Madridclient@bankofamerica.com,,,0000,03/08/2015,03/08/2015,,28,,N,BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,2 KING EDWARD STREET,LONDRES EC1A 1HQ,,,,,12,,"BAMLI, S. E.","BAMLI, S. E.",GB,ALTA,,,A,,0000,,BOFAES2XXXX
SECC,1487,140000,"TOYOTA KREDITBANK GMBH, S.E.","TOYOTA KREDITBANK GMBH, SUCURSAL EN ESPAÑA",,W0043045D,AV,DE BRUSELAS,22,ARROYO DE LA VEGA,28108,ALCOBENDAS,MADRID,ES,,0911513400,,0915860341,,,,0000,14/09/2010,11/04/2003,,28,,N,TOYOTA KREDITBANK GMBH,"TOYOTA ALLEE, 5",50858 COLONIA,,,,,12,,"TOYOTA KREDITBANK GMBH, S.E.",TOYOTA,DE,,,,,,0000,,
SECC,1488,140000,"PICTET & CIE (EUROPE), S.A., S.E.","PICTET & CIE (EUROPE), S.A., SUCURSAL EN ESPAÑA",,W0032377D,CL,HERMOSILLA,11,,28001,MADRID,,ES,,0915382500,,0915783954,,,,0000,21/12/2010,05/05/2003,,28,,N,PICTET & CIE (EUROPE) S.A.,"15A, AVENUE J.F. KENNEDY",L-1855 LUXEMBOURG,,,,,12,,"PICTET & CIE (EUROPE), S.A., S.E.",PICTET & CIE,LU,,,,,,0000,,PICTESMMXXX
SECC,1491,140000,"TRIODOS BANK, N.V., S.E.","TRIODOS BANK, N.V., S.E.",,W0032597G,CL,JOSE ECHEGARAY,5,PQ. EMP.LAS ROZAS,28230,LAS ROZAS,MADRID,ES,,0916404684,,0916405444,WWW.TRIODOS.ES,,,0000,01/01/2009,26/04/2004,,28,,N,"TRIODOS BANK, N.V.",3704 HE ZEIST,UTRECHTSEWEG 60,,,,,12,,"TRIODOS BANK, N.V., S.E.",TRIODOS BANK,NL,,,,W,,0000,,TRIOESMMXXX
SECC,1492,140000,"BNP PARIBAS LEASE GROUP, S.A. S.E.",BNP PARIBAS LEASE GROUP S.A. SUCURSAL EN ESPAÑA,,W0013547E,CL,ESTRELLA DENEBOLA,8,PL. 3,28045,MADRID,,ES,,0914682048,,0915273975,,,,0000,04/04/2017,20/05/2004,,28,BNP PARIBAS,S,"BNP PARIBAS LEASE GROUP, S.A.",46-52 RUE ARAGO,92800 PUTEAUX,,,,,12,,"BNP PARIBAS LEASE GROUP, S.A. S.E.",BNP PARIBAS,FR,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1493,140000,"CAIXA BANCO DE INVESTIMENTO, S.A., S.E.","CAIXA BANCO DE INVESTIMENTO, S.A. SUCURSAL EN ESPAÑA",,W0101947J,PS,DE LA CASTELLANA,30,BAJO DERECHA,28046,MADRID,,ES,,0917450540,,0915639559,,,,0000,23/07/2015,29/10/2004,,28,,N,"CAIXA BANCO DE INVESTIMENTO, S.A.","RUA BARATA SALGUEIRO, 33",LISBOA,,,,,12,,"CAIXA BANCO DE INVESTIMENTO,SA, SE",CAIXABI,PT,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1494,140000,"INTESA SANPAOLO S.P.A., S.E.","INTESA SANPAOLO S.P.A., SUCURSAL EN ESPAÑA",,W0051962I,PS,DE LA CASTELLANA,31,"EDIF. PIRAMIDE, PLANTA 6ª A",28046,MADRID,,ES,,0913490400,,0913197722,,,,0000,07/02/2017,19/11/2004,,28,,N,INTESA SANPAOLO S.P.A.,"PIAZZA SAN CARLO, 156",TURIN,,,,,12,,"INTESA SANPAOLO S.P.A., S.E.",INTESA SANPAOLO,IT,CAMBIO DE DOMICILIO,,,D,,0000,,BCITESMMXXX
SECC,1496,140000,"GENEFIM, S.E.","GENEFIM, SUCURSAL EN ESPAÑA",,W0011685E,PZ,PABLO RUIZ PICASSO,1,TORRE PICASSO,28020,MADRID,,ES,,0915893967,,0915893976,,,,0000,06/07/2012,23/06/2005,,28,,N,GENEFIM,29 BOULEVARD HAUSSMANN,PARIS (75009),,,,,12,,"GENEFIM, S.E.",GENEFIM,FR,,,,,,0000,,
SECC,1497,140000,"HAITONG BANK, S.A., SUCURSAL EN ESPAÑA","HAITONG BANK, S.A., SUCURSAL EN ESPAÑA",,W0102170H,CL,SERRANO,88,PL. 4,28006,MADRID,,ES,,0914005435,,0914005388,,,,0000,19/11/2015,16/09/2005,,28,,N,"HAITONG BANK, S.A.","RUA ALEXANDRE HERCULANO, 38",1269-161 LISBOA,,,,,12,,"HAITONG BANK, S.A. S.E.","HAITONG BANK, S",PT,CAMBIO DE DENOMINACION,,,N,,0000,,ESSIESMMXXX
SECC,1499,140000,"CLAAS FINANCIAL SERVICES, S.A.S., S.E.","CLAAS FINANCIAL SERVICES, S.A.S., SUCURSAL EN ESPAÑA",,W0014060H,CL,ESTRELLA DENEBOLA,8,3ª PLANTA,28045,MADRID,,ES,,0914682048,,0915300019,,,,0000,28/03/2016,11/10/2005,,28,,N,"CLAAS FINANCAL SERVICES, S.A.S.","46/52 RUE ARAGO, LE MéTROPOLE - LA DEFENSE",92800 PUTEAUX (HAUTS-DE-SIENE),,,,,12,,"CLAAS FINANCIAL SERVICES, S.A.S.,SE",CLAAS FINANCIAL,FR,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1500,140000,"NATIXIS LEASE S.A., S.E.","NATIXIS LEASE, S.A., SUCURSAL EN ESPAÑA",,W0013984J,CL,SERRANO,90,,28006,MADRID,MADRID,ES,,0918374717,,0918374733,,,,0000,24/05/2018,20/10/2005,,28,,N,"NATIXIS LEASE, SOCIETE ANONYME",115 RUE MONTMARTRE,75002 PARIS,,,,,12,,"NATIXIS LEASE S.A., S.E.",NATIXIS LEASE,FR,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1501,140000,"DEUTSCHE PFANDBRIEFBANK AG, S.E.","DEUTSCHE PFANDBRIEFBANK AG, SUCURSAL EN ESPAÑA",,W0046318B,CL,MONTESQUINZA,30,PL. 4,28010,MADRID,,ES,,0913493200,,0913493320,,,,0000,16/12/2010,17/02/2009,,28,,N,DEUTSCHE PFANDBRIEFBANK AG,VON-DER-TANN-STRABE 2,D-80539 MÜNCHEN,,,,,12,,"DEUTSCHE PFANDBRIEFBANK AG, S.E.",DEUTSCHE PFANDB,DE,,,,,,0000,,DPBBESM1XXX
SECC,1504,140000,"HONDA BANK GMBH, S.E.","HONDA BANK GMBH, SUCURSAL EN ESPAÑA",,W0044283J,CL,MAR DEL NORD,1,,8130,SANTA PERPETUA DE LA MOGODA,BARCELONA,ES,,0933784800,,0933780011,,,,0000,07/11/2016,27/07/2006,,08,,N,HONDA BANK GMBH,HANAUER LANDSTR. 222-224,60314 FRANKFURT AM MAIN,,,,,09,,"HONDA BANK GMBH, S.E.",HONDA BANK,DE,,,,,,0000,,
SECC,1508,140000,"RCI BANQUE, S.A., S.E.","RCI BANQUE, S.A., SUCURSAL EN ESPAÑA",,W0014596A,AV,DE EUROPA,1,EDIFICIO A,28108,ALCOBENDAS,MADRID,ES,,0902137137,,0913794415,,,,0000,06/11/2017,12/02/2007,,28,,N,RCI BANQUE,14 AVENUE DU PAVE NEUF,93168 NOISY-LE-GRAND CEDEX,,,,,12,,"RCI BANQUE, S.A., S.E.",RCI BANQUE,FR,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1509,140000,"BANCO PRIMUS, S.A., S.E.","BANCO PRIMUS, S.A., SUCURSAL EN ESPAÑA",,W0102570I,AV,"DEL PARTENON, 10 - PL. 2",BLQ. OESTE,EDF. CENTRO INTERNACIONAL DE COMERCIO,28042,MADRID,MADRID,ES,,0911781100,,0914905338,WWW.BANCOPRIMUS.ES,,,0000,20/02/2014,19/01/2007,,28,,N,"BANCO PRIMUS, S.A.","QUINTA DA FONTE - ED. DON JOAO I, 1A                             FREGUESIA DE PAÇO DOS ARCOS",2770-192 PAÇO DOS ARCOS. CONCELHO D,E OEIRAS,,,,12,,"BANCO PRIMUS, S.A., S.E.",BANCO PRIMUS,PT,CAMBIO DE DOMICILIO,,,D,,0000,,
SECC,1512,140000,"ELAVON FINANCIAL SERVICES DAC, S.E.","ELAVON FINANCIAL SERVICES DESIGNATED ACTIVITY COMPANY, SUCURSAL EN ESPAÑA",,W0071818I,AV,BRUSELAS,36,PLANTA 3,28108,ALCOBENDAS,MADRID,ES,,0914176946,,0915562880,,,,0000,11/11/2016,06/06/2007,,28,,N,ELAVON FINANCIAL SERVICES DESIGNATED ACTIVITY COMPANY,"FIRST FLOOR, FITZWILTON HOUSE, WILTON PLACE",DUBLIN 2,,,,,12,,ELAVON FINANCIAL SERVICES DAC,ELAVON,IE,CAMBIO DE DENOMINACION,,,V,,0000,,
SECC,1513,140000,"CAIXA GERAL DE DEPOSITOS, S.A. SUCURSAL EN ESPAÑA","CAIXA GERAL DE DEPOSITOS, S.A. SUCURSAL EN ESPAÑA",,W0103739I,CL,JUAN IGNACIO LUCA DE TENA,1,,28027,MADRID,,ES,,0913099023,,0913209275,,,,0000,04/05/2012,05/07/2007,,28,,N,"CAIXA GERAL DE DEPOSITOS, S.A.","AVENIDA JOÁO XXI, 63",1000-300 LISBOA,,,,,12,,"CAIXA GERAL DE DEPOSITOS, S.A. SE",CAIXA GERAL SE,PT,,,,,,0000,,
SECC,1514,140000,"CNH INDUSTRIAL FINANCIAL SERVICES, S.E.","CNH INDUSTRIAL FINANCIAL SERVICES, SUCURSAL EN ESPAÑA",,W0103662C,AV,JOSE GARATE,11,,28820,COSLADA,MADRID,ES,,0916603800,,0916602260,,,,0000,29/07/2014,25/06/2007,,28,,N,"CNH INDUSTRIAL FINANCIAL SERVICES, S.A.S.",16-18 RUE ROCHETTES,91150 MORIGNY CHAMPIGNY,,,,,12,,CNH INDUSTRIAL FINANCIAL SERVICES,CNH,FR,CAMBIO DE DENOMINACION,,,N,,0000,,
SECC,1516,140000,"J.P. MORGAN INTERNATIONAL BANK LIMITED, S.E.","J.P. MORGAN INTERNATIONAL BANK LIMITED, SUCURSAL EN ESPAÑA",,W0069849H,PS,DE LA CASTELLANA,31,,28046,MADRID,,ES,,0915161200,,0915161616,,,,0000,04/10/2017,27/09/2007,,28,,N,J.P. MORGAN INTERNATIONAL BANK     LIMITED,125 LONDON WALL,LONDRES EC2Y 5AJ,,,,,12,,J.P. MORGAN INTERNATIONAL BANK LTD.,JP MORGAN INT,GB,,,,,,0000,,
SECC,1520,140000,"MEDIOBANCA, S.E.","MEDIOBANCA, SUCURSAL EN ESPAÑA",,W0053354G,CL,JORGE MANRIQUE,12,,28006,MADRID,,ES,,0915158100,,0915158254,,,,0000,01/01/2009,14/01/2008,,28,,N,"MEDIOBANCA BANCA DI CREDITO        FINANZIARIO, S.P.A.","PIAZZETTA ENRICO CUCCIA, 1                                       CAP 20121",MILAN,,,,,12,,"MEDIOBANCA, S.E.","MEDIOBANCA, S.E",IT,,,,W,,0000,,
